"","season","team","conference","statName","statValue"
"347",2011,"Notre Dame","FBS Independents","kickReturnTDs",2
"348",2013,"Notre Dame","FBS Independents","games",13
"349",2010,"Notre Dame","FBS Independents","rushingYards",1646
"350",2004,"Notre Dame","FBS Independents","puntReturnYards",358
"351",2015,"Notre Dame","FBS Independents","kickReturns",38
"352",2006,"Notre Dame","FBS Independents","passCompletions",290
"353",1956,"Notre Dame","FBS Independents","games",10
"354",2019,"Notre Dame","FBS Independents","rushingYards",2311
"355",2010,"Notre Dame","FBS Independents","interceptionTDs",1
"356",1941,"Notre Dame","FBS Independents","games",9
"357",2004,"Notre Dame","FBS Independents","fumblesRecovered",12
"358",2017,"Notre Dame","FBS Independents","penalties",75
"359",2007,"Notre Dame","FBS Independents","firstDowns",187
"360",2017,"Notre Dame","FBS Independents","puntReturnTDs",0
"361",2006,"Notre Dame","FBS Independents","thirdDowns",177
"362",2015,"Notre Dame","FBS Independents","interceptionTDs",1
"363",2021,"Notre Dame","FBS Independents","fumblesRecovered",12
"364",2012,"Notre Dame","FBS Independents","totalYards",5358
"365",2016,"Notre Dame","FBS Independents","interceptionYards",73
"366",2019,"Notre Dame","FBS Independents","thirdDownConversions",74
"367",2005,"Notre Dame","FBS Independents","games",12
"368",2009,"Notre Dame","FBS Independents","fourthDownConversions",9
"369",2023,"Notre Dame","FBS Independents","interceptionYards",33
"370",2015,"Notre Dame","FBS Independents","possessionTime",23106
"371",2019,"Notre Dame","FBS Independents","kickReturnTDs",0
"372",2012,"Notre Dame","FBS Independents","puntReturns",21
"373",2019,"Notre Dame","FBS Independents","kickReturnYards",403
"374",1945,"Notre Dame","FBS Independents","games",10
"375",2015,"Notre Dame","FBS Independents","fumblesRecovered",5
"376",2004,"Notre Dame","FBS Independents","puntReturnTDs",0
"377",2007,"Notre Dame","FBS Independents","puntReturns",35
"378",2009,"Notre Dame","FBS Independents","puntReturnTDs",1
"379",1965,"Notre Dame","FBS Independents","games",10
"380",2011,"Notre Dame","FBS Independents","totalYards",5369
"381",2008,"Notre Dame","FBS Independents","rushingAttempts",436
"382",2019,"Notre Dame","FBS Independents","turnovers",11
"383",2010,"Notre Dame","FBS Independents","turnovers",24
"384",2013,"Notre Dame","FBS Independents","kickReturnYards",998
"385",2009,"Notre Dame","FBS Independents","thirdDownConversions",64
"386",1938,"Notre Dame","FBS Independents","games",9
"387",2013,"Notre Dame","FBS Independents","turnovers",17
"388",2004,"Notre Dame","FBS Independents","rushingYards",1529
"389",1985,"Notre Dame","FBS Independents","games",11
"390",2016,"Notre Dame","FBS Independents","puntReturnTDs",0
"391",1934,"Notre Dame","FBS Independents","games",9
"392",2022,"Notre Dame","FBS Independents","thirdDowns",176
"393",2005,"Notre Dame","FBS Independents","fumblesRecovered",12
"394",2023,"Notre Dame","FBS Independents","puntReturnYards",47
"395",2021,"Notre Dame","FBS Independents","puntReturnYards",164
"396",2013,"Notre Dame","FBS Independents","penalties",73
"397",2011,"Notre Dame","FBS Independents","turnovers",29
"398",2013,"Notre Dame","FBS Independents","interceptionYards",93
"399",2014,"Notre Dame","FBS Independents","netPassingYards",3711
"400",2020,"Notre Dame","FBS Independents","possessionTime",24357
"401",2021,"Notre Dame","FBS Independents","puntReturnTDs",0
"402",2022,"Notre Dame","FBS Independents","rushingTDs",25
"403",1968,"Notre Dame","FBS Independents","games",10
"404",2019,"Notre Dame","FBS Independents","puntReturnYards",211
"405",2006,"Notre Dame","FBS Independents","firstDowns",279
