"","collegeAthleteId","nflAthleteId","collegeId","collegeTeam","collegeConference","nflTeam","year","overall","round","pick","name","position","height","weight","preDraftRanking","preDraftPositionRanking","preDraftGrade","hometownInfo.city","hometownInfo.state","hometownInfo.country","hometownInfo.latitude","hometownInfo.longitude","hometownInfo.countyFips"
"171",NA,4292,87,"Notre Dame","FBS Independents","Detroit",2002,138,5,3,"John Owens","Tight End",NA,266,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",NA,14992,87,"Notre Dame","FBS Independents","Chicago",1973,138,6,8,"Mike Creaney","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",385320,29044,87,"Notre Dame","FBS Independents","Minnesota",2012,139,5,4,"Robert Blanton","Safety",73,208,177,13,51,"Matthews","NC","USA","35.1170873","-80.723718","37119"
"174",-1026451,33081,87,"Notre Dame","FBS Independents","Atlanta",2014,139,4,39,"Prince Shembo","Outside Linebacker",73,253,172,16,52,"Charlotte","NC","USA","35.2272","-80.843083","37119"
"175",NA,13229,87,"Notre Dame","FBS Independents","Miami",1969,141,6,11,"Ed Tuck","Offensive Guard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",NA,23286,87,"Notre Dame","FBS Independents","Chicago",1999,143,5,10,"Jerry Wisne","Offensive Guard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",1940320,8906,87,"Notre Dame","FBS Independents","Los Angeles",2005,144,5,8,"Jerome Collins","Tight End",76,261,190,10,57,NA,NA,NA,NA,NA,NA
"178",NA,21129,87,"Notre Dame","FBS Independents","Seattle",1990,146,6,9,"Ned Bolcar","Linebacker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",4039029,104133,87,"Notre Dame","FBS Independents","Cincinnati",2020,147,5,1,"Khalid Kareem","Defensive End",76,268,148,18,59,"Detroit","MI","USA","42.3315509","-83.0466403","26163"
"180",NA,20820,87,"Notre Dame","FBS Independents","Miami",1989,147,6,8,"Wes Pritchett","Linebacker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",NA,22428,87,"Notre Dame","FBS Independents","Cleveland",1995,147,5,13,"Mike Miller","Wide Receiver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",NA,23292,87,"Notre Dame","FBS Independents","New York",1999,149,5,16,"Mike Rosenthal","Offensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",NA,22243,87,"Notre Dame","FBS Independents","San Francisco",1994,153,5,22,"Anthony Peterson","Linebacker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",NA,6930,87,"Notre Dame","FBS Independents","Kansas City",2003,153,5,18,"Jordan Black","Offensive Tackle",NA,314,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",NA,12783,87,"Notre Dame","FBS Independents","Philadelphia",1968,157,6,19,"Dave Martin","Defensive Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",NA,14569,87,"Notre Dame","FBS Independents","Buffalo",1972,157,7,1,"Ralph Stepaniak","Defensive Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",NA,13687,87,"Notre Dame","FBS Independents","Philadelphia",1970,158,7,2,"Terry Brennan","Offensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
